,user_id,video_id,hourmin,time_ms,is_follow,is_comment,is_forward,is_hate,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,is_profile_enter,is_rand,tab,split
0,427,5916,1700,1650618693940,0,0,0,0,7179,552466,0,0,0,1,1,train
1,148,4670,1500,1650612730292,0,0,0,0,11108,183333,0,0,0,1,1,train
2,148,7295,1500,1650611395971,0,0,0,0,22407,53000,0,0,0,1,1,train
3,798,3225,2100,1650633351283,0,0,0,0,12534,13566,0,0,0,1,1,train
4,798,5001,2200,1650638091226,0,0,0,0,33174,136440,0,0,0,1,1,train
5,558,1957,2100,1650632096549,0,0,0,0,59521,55900,0,0,0,1,1,train
6,558,5538,2000,1650629829659,0,0,0,0,12733,18600,0,0,0,1,1,train
7,810,6002,1500,1650612529574,0,0,0,0,9847,9000,0,0,0,1,1,train
8,810,908,2200,1650637915601,0,0,0,0,8670,18100,0,0,0,1,1,train
9,138,5603,2200,1650637017556,0,0,0,0,15345,283783,0,0,0,1,1,train
10,821,1312,1700,1650619664870,0,0,0,0,7132,154680,0,0,0,1,1,train
11,821,1826,1900,1650625812697,0,0,0,0,5194,47166,0,0,0,1,1,train
12,132,2241,2300,1650638828420,0,0,0,0,10504,12466,0,0,0,1,1,train
13,413,4486,2000,1650630808667,0,0,0,0,49988,73133,0,31485,1,1,1,train
14,122,4499,2000,1650631290884,0,0,0,0,15697,153533,0,0,0,1,1,train
15,833,3458,1600,1650616370280,0,0,0,0,39313,100200,0,0,0,1,1,train
16,148,7217,1800,1650621336712,0,0,0,0,42623,91600,0,0,0,1,1,train
17,833,3237,2100,1650633478782,0,0,0,0,8506,540020,0,0,0,1,1,train
18,562,718,1500,1650610687120,0,0,0,0,33142,55500,0,0,0,1,1,train
19,150,3232,2300,1650641170847,0,0,0,0,17437,93500,0,0,0,1,1,train
20,355,6299,1800,1650620743868,0,0,0,0,8344,326893,0,0,0,1,1,train
21,450,2184,2100,1650631547309,0,0,0,0,20796,41100,0,0,0,1,1,train
22,764,2280,1800,1650622326207,0,0,0,0,7186,99960,0,0,0,1,1,train
23,764,3977,1900,1650625522788,0,0,0,0,41558,78700,0,0,0,1,1,train
24,764,7027,2100,1650632582521,0,0,0,0,15358,99200,0,0,0,1,1,train
25,764,2019,2100,1650634422810,0,0,0,0,8883,111533,0,0,0,1,1,train
26,450,6282,1900,1650627319835,0,0,0,0,12667,11533,0,0,0,1,1,train
27,152,659,2200,1650635201664,0,0,0,0,44207,68700,0,0,0,1,1,train
28,152,522,1400,1650606615005,0,0,0,0,15669,67680,0,0,0,1,1,train
29,449,1670,1800,1650622022011,0,0,0,0,28091,57200,0,0,0,1,1,train
30,773,4166,2200,1650635488025,0,0,0,0,11250,33533,0,0,0,1,1,train
31,777,4644,1800,1650622440938,0,0,0,0,7565,14366,0,0,0,1,1,train
32,782,6870,2300,1650640546124,0,0,0,0,38190,41900,0,0,0,1,1,train
33,564,5689,2100,1650633992923,0,0,0,0,12662,234360,0,0,0,1,1,train
34,150,5698,2300,1650641413482,0,0,0,0,10548,210166,0,0,0,1,1,train
35,785,2736,2200,1650636075731,0,0,0,0,11846,192700,0,0,0,1,1,train
36,114,1057,1600,1650615592838,0,0,0,0,19312,25183,0,1235,0,1,1,train
37,110,6614,1900,1650625953786,0,0,0,0,7631,0,0,0,0,1,1,train
38,550,1819,1700,1650617604811,0,0,0,0,8290,0,0,0,0,1,1,train
39,538,164,2100,1650633291805,0,0,0,0,10760,224583,0,0,0,1,1,train
40,931,3417,1700,1650619052942,0,0,0,0,7615,21200,0,0,0,1,1,train
41,935,6801,2000,1650630837812,0,0,0,0,29222,35600,0,0,0,1,1,train
42,935,3148,2000,1650630979548,0,0,0,0,18867,60107,0,0,0,1,1,train
43,935,5698,2100,1650631854826,0,0,0,0,9738,210166,0,0,0,1,1,train
44,400,3423,2200,1650638227146,0,0,0,0,42249,173633,0,989,0,1,1,train
45,939,5669,1500,1650611369784,0,0,0,0,16723,30400,0,0,0,1,1,train
46,401,4031,1500,1650611403977,0,0,0,0,21639,17475,0,0,0,1,1,train
47,401,4552,1500,1650612986506,0,0,0,0,41930,47333,0,0,0,1,1,train
48,401,5542,1500,1650613314422,0,0,0,0,25539,153120,0,0,0,1,1,train
49,401,4699,2100,1650632063011,0,0,0,0,16370,10633,0,0,0,1,1,train
50,438,6797,1600,1650616719885,0,0,0,0,9891,183033,0,0,0,1,1,train
51,950,6891,1600,1650614928382,0,0,0,0,24366,23000,0,3346,0,1,1,train
52,38,4673,1900,1650626172217,0,0,0,0,67826,67840,0,0,1,1,1,train
53,503,2313,2000,1650628597647,0,0,0,0,8405,10200,0,0,0,1,1,train
54,538,916,2200,1650635415645,0,0,0,0,7915,221862,0,0,0,1,1,train
55,58,442,1800,1650622292888,0,0,0,0,13232,12000,0,0,0,1,1,train
56,61,403,1700,1650617158288,0,1,0,0,22660,346400,0,7081,0,1,1,train
57,386,1768,1900,1650624985323,0,0,0,0,22841,183500,0,0,0,1,1,train
58,550,6925,1600,1650616191892,0,0,0,0,81329,147116,0,0,1,1,1,train
59,545,7383,2200,1650637362894,0,0,0,0,84097,80689,0,0,0,1,11,train
60,95,2300,2200,1650637236658,0,0,0,0,7335,18666,0,0,0,1,1,train
61,865,4572,1600,1650616306517,0,0,0,0,112182,43366,0,0,0,1,1,train
62,883,5320,1600,1650617038382,0,0,0,0,478,108280,0,0,0,1,1,train
63,87,258,1800,1650621366724,0,0,0,0,7481,786466,0,0,0,1,1,train
64,87,2380,1700,1650620627319,0,0,0,0,25388,66766,0,0,0,1,1,train
65,355,7248,1500,1650611210501,0,0,0,0,17055,352466,0,0,0,1,1,train
66,883,4088,1700,1650617890450,0,0,0,0,16764,20233,0,0,0,1,1,train
67,382,4801,1800,1650622375444,0,0,0,0,54225,17125,0,0,0,1,1,train
68,903,2752,2100,1650632955972,0,0,0,0,18482,17400,0,0,0,1,1,train
69,539,938,2000,1650630562635,0,0,0,0,71902,218300,0,0,0,1,1,train
70,64,7053,2000,1650628982662,0,0,0,0,13419,11866,0,0,0,1,1,train
71,386,5211,1600,1650614673654,0,0,0,0,73730,60133,0,0,0,1,1,train
72,386,3966,1600,1650616358939,0,0,0,0,32678,34383,0,1710,0,1,1,train
73,386,7375,1800,1650623044972,0,0,0,0,24878,22133,0,0,0,1,1,train
74,883,3203,2300,1650639124104,0,0,0,0,10938,63300,0,0,0,1,1,train
75,37,968,2200,1650636144934,0,0,0,0,14367,76900,0,0,0,1,1,train
76,753,4433,1700,1650620478709,0,0,0,0,8494,10666,0,0,0,1,1,train
77,571,5307,1600,1650614196397,0,0,0,0,43588,73480,0,1005,0,1,1,train
78,282,6189,1600,1650617428357,0,0,0,0,41643,40833,0,0,0,1,1,train
79,282,1024,1600,1650616494377,0,0,0,0,44458,45633,0,0,0,1,1,train
80,277,5816,1500,1650612406770,0,0,0,0,22563,116560,0,0,0,1,1,train
81,277,3334,1500,1650612134162,0,0,0,0,42490,52916,0,0,0,1,1,train
82,277,3677,1500,1650610660043,0,0,0,0,11799,103800,0,0,0,1,1,train
83,277,1790,1400,1650610305302,0,0,0,0,21882,82700,0,0,0,1,1,train
84,272,6424,2100,1650633362731,0,0,0,0,11818,28166,0,0,0,1,1,train
85,271,1808,1900,1650624809389,0,0,0,0,12212,130660,0,0,0,1,1,train
86,321,5777,1900,1650624913889,0,0,0,0,9585,127133,0,0,0,1,1,train
87,321,6642,2000,1650627936156,0,0,0,0,9625,56680,0,0,0,1,1,train
88,321,5877,2000,1650628489615,0,0,0,0,86126,276520,0,0,0,1,1,train
89,269,2862,2000,1650630913161,0,0,0,0,791,30883,0,0,0,1,1,train
90,269,6717,1900,1650625249670,0,0,0,0,10088,131200,0,0,0,1,1,train
91,269,4216,1700,1650618682644,0,0,0,0,12808,48000,0,0,0,1,1,train
92,269,74,1600,1650617311899,0,0,0,0,12867,30166,0,0,0,1,1,train
93,282,3930,1700,1650618245024,0,0,0,0,18839,148541,0,0,0,1,1,train
94,269,948,1600,1650616714286,0,0,0,0,7897,16033,0,0,0,1,1,train
95,282,987,1700,1650620079228,0,0,0,0,9673,9142,0,0,1,1,1,train
96,282,3773,1900,1650626424543,0,0,0,0,8294,73760,0,0,0,1,1,train
97,311,2650,1900,1650626029165,0,0,0,0,10232,295880,0,0,0,1,1,train
98,625,6175,1700,1650619055550,0,0,0,0,28270,58960,0,0,0,1,1,train
99,625,5386,1800,1650623038523,0,0,0,0,11561,45666,0,0,0,1,1,train
100,625,713,1800,1650623170617,0,0,0,0,69280,215120,0,0,0,1,1,train
101,625,2224,1900,1650627107204,0,0,0,0,8344,27350,0,0,0,1,1,train
102,308,1669,2300,1650639531796,0,0,0,0,10791,12583,0,0,0,1,1,train
103,625,2043,1900,1650627249103,0,0,0,0,50973,209240,0,0,0,1,1,train
104,625,5528,1900,1650627388068,0,0,0,0,18246,344360,0,0,0,1,1,train
105,625,5004,1900,1650627494306,0,0,0,0,64185,165000,0,0,0,1,1,train
106,625,243,2000,1650629112864,0,0,0,0,7948,55366,0,0,1,1,1,train
107,317,1742,1800,1650621901281,0,0,0,0,16562,76866,0,0,0,1,1,train
108,299,43,2100,1650633069350,0,0,0,0,9143,332400,0,0,0,1,1,train
109,299,1117,2000,1650629813386,0,0,0,0,30238,139966,0,0,0,1,1,train
110,299,1612,1900,1650628262764,0,0,0,0,37882,36833,0,0,0,1,1,train
111,282,550,1900,1650627226398,0,0,0,0,42181,23150,0,0,0,1,1,train
112,282,2479,1800,1650624438233,0,0,0,0,7097,68916,0,0,0,1,1,train
113,466,4421,1600,1650617177158,0,0,0,0,23950,86300,0,0,0,1,1,train
114,257,5674,1800,1650621148175,0,0,0,0,61363,59666,0,0,0,1,1,train
115,664,4376,1500,1650612222557,0,0,0,0,10791,166933,0,0,0,1,1,train
116,698,1974,2200,1650637384900,0,0,0,0,11484,170133,0,0,0,1,1,train
117,589,873,2200,1650635575635,0,0,0,0,1766,47933,0,0,0,1,1,train
118,588,6410,2300,1650641774588,0,0,0,0,99640,100700,0,0,0,1,1,train
119,709,3792,2100,1650635201895,0,0,0,0,16390,14966,0,0,0,1,1,train
120,345,5348,1700,1650620662347,0,0,0,0,31414,95800,0,0,0,1,1,train
121,201,4015,2300,1650639872299,0,0,0,0,316953,362916,0,0,0,1,1,train
122,195,5542,1800,1650620903995,0,0,0,0,153113,153120,0,0,0,1,1,train
123,722,7384,1800,1650622990657,0,0,0,0,10802,41233,0,0,0,1,1,train
124,496,4654,2300,1650640555666,0,0,0,0,7837,19465,0,0,0,1,1,train
125,496,6176,2300,1650641181740,0,0,0,0,8318,323133,0,0,0,1,1,train
126,496,351,2300,1650641728138,0,0,0,0,9382,106066,0,0,0,1,1,train
127,452,3407,1800,1650622717584,0,0,0,0,9465,9100,0,0,0,1,1,train
128,571,2655,2200,1650637783003,0,0,0,0,10656,117766,0,0,0,1,1,train
129,571,4129,1700,1650619084679,0,0,0,0,8157,15233,0,0,0,1,1,train
130,571,2864,1600,1650615556079,0,0,0,0,12323,48433,0,0,0,1,1,train
131,698,382,2100,1650634977216,0,0,0,0,31476,51666,0,0,0,1,1,train
132,697,753,1900,1650625968590,0,0,0,0,7599,60200,0,0,0,1,1,train
133,594,4704,1500,1650613644528,0,0,0,0,8000,7533,0,0,0,1,1,train
134,594,5736,1700,1650619355477,0,0,0,0,8274,14583,0,0,0,1,1,train
135,664,1312,1600,1650614011499,0,0,0,0,7620,154680,0,0,0,1,1,train
136,664,6870,1800,1650622502690,0,0,0,0,8834,41900,0,0,0,1,1,train
137,664,4378,1900,1650624251166,0,0,0,0,11705,16015,0,0,0,1,1,train
138,664,6742,1900,1650625160583,0,0,0,0,7208,11050,0,0,0,1,1,train
139,454,5410,1700,1650618627256,0,0,0,0,13514,10000,0,0,0,1,1,train
140,675,4629,1700,1650620054142,0,0,0,0,11335,7500,0,0,0,1,1,train
141,675,1473,2300,1650639013132,0,0,0,0,8508,18100,0,0,0,1,1,train
142,351,4195,2200,1650637376138,0,0,0,0,38669,39600,0,3457,0,1,1,train
143,679,954,2200,1650635190774,0,0,0,0,7478,19666,0,0,0,1,1,train
144,409,4546,2100,1650632179177,0,0,0,0,10319,115648,0,0,0,1,1,train
145,237,557,1800,1650622110259,0,0,0,0,20501,22600,0,0,0,1,1,train
146,237,179,1800,1650622056367,0,0,0,0,8444,112466,0,0,0,1,1,train
147,237,3581,1600,1650615198590,0,0,0,0,37866,38950,0,0,0,1,1,train
148,237,2090,1600,1650614578630,0,0,0,0,30433,186936,0,0,0,1,1,train
149,597,2272,1800,1650622377958,0,0,0,0,10752,46600,0,0,0,1,1,train
150,597,3303,1800,1650622129643,0,0,0,0,44589,44466,0,0,0,1,1,train
151,679,7140,2200,1650635832784,0,0,0,0,9930,79400,0,0,0,1,1,train
152,434,6023,2200,1650637402981,0,0,0,0,19601,18800,0,0,0,1,1,train
153,473,4419,2100,1650633528326,0,0,0,0,15357,220100,0,0,0,1,1,train
154,511,5280,2200,1650636875157,0,0,0,0,8909,24900,0,0,0,1,1,train
155,11,4603,2200,1650638223094,0,0,0,0,7566,305733,0,0,0,1,1,train
156,981,4754,1700,1650620313027,0,0,0,0,11919,10966,0,0,0,1,1,train
157,994,1549,2000,1650628533624,0,0,0,0,7634,66450,0,0,0,1,1,train
158,433,3563,2300,1650638348915,0,0,0,0,9633,11366,0,0,0,1,1,train
159,973,1380,1600,1650613936640,0,0,0,0,19409,248640,0,0,0,1,1,train
160,466,5274,1900,1650711270055,0,0,0,0,19233,17866,0,0,0,1,1,train
161,644,5766,0,1650645814696,0,0,0,0,9008,8200,0,0,0,1,1,train
162,11,3612,2000,1650715430984,0,0,0,0,15789,179900,0,0,0,1,1,train
163,355,3420,900,1650677044789,0,0,0,0,7096,6483,0,0,0,1,1,train
164,355,3665,2100,1650721305453,0,0,0,0,11364,110166,0,0,0,1,1,train
165,369,2169,700,1650670489340,0,0,0,0,7033,11400,0,0,0,1,1,train
166,369,3621,700,1650670284658,0,0,0,0,10855,17350,0,0,0,1,1,train
167,369,2094,700,1650670073992,0,0,0,0,33074,253300,0,0,0,1,1,train
168,197,7284,400,1650660702080,0,0,0,0,7953,12766,0,0,0,1,1,train
169,121,2565,1400,1650695409565,0,0,0,0,74048,678716,0,0,0,1,1,train
